b0	b1	k0	k1
0.00	0.00	0.0000	0.0000
-5.98	2.60	0.9834	0.9879
-6.20	2.58	0.9897	0.9921
-4.86	2.43	0.9678	0.9986
-5.55	2.47	0.9864	1.0014
-5.86	2.44	0.9931	1.0060
-5.72	2.41	0.9909	1.0104
-5.78	2.46	0.9923	1.0135
-5.71	2.54	0.9916	1.0161
-5.37	2.60	0.9878	1.0192
-5.60	2.70	0.9924	1.0221
-5.77	2.79	0.9976	1.0250
-5.80	2.88	0.9987	1.0284
-5.63	2.95	0.9996	1.0322
-5.65	3.04	1.0030	1.0359
-5.74	3.13	1.0073	1.0398
-5.93	3.23	1.0115	1.0439
-5.24	3.22	1.0090	1.0497
-5.24	3.32	1.0089	1.0544
-4.38	3.42	1.0105	1.0594
-4.11	3.49	1.0105	1.0650
-4.11	3.59	1.0103	1.0706
-4.44	3.70	1.0167	1.0763
-4.21	3.77	1.0210	1.0826
-5.30	3.87	1.0430	1.0891
-5.58	3.99	1.0547	1.0956
-4.85	4.10	1.0484	1.1027
-4.72	4.23	1.0521	1.1098
-5.46	4.33	1.0682	1.1178
-5.35	4.43	1.0727	1.1260
-4.87	4.43	1.0774	1.1358
-4.62	4.47	1.0834	1.1457
-3.93	4.55	1.0767	1.1557
-3.95	4.66	1.0822	1.1657
-4.14	4.77	1.0892	1.1762
-5.01	4.92	1.1173	1.1862
-4.67	4.89	1.1204	1.1994
-5.13	5.01	1.1335	1.2112
-6.10	5.11	1.1631	1.2233
-5.75	5.22	1.1663	1.2365
-5.61	5.33	1.1696	1.2501
-5.94	5.42	1.1845	1.2645
-4.41	5.30	1.1700	1.2825
-5.58	5.23	1.1997	1.3000
-5.61	5.23	1.2111	1.3174
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
